            Variable                     Coef                 Gradient                     s.e.
BC_COffDi72            5.9376210150999933E+00  -3.1908076416002331E-04   7.0091730491199122E-01
BC_COffDi73            2.8072893088353394E+00  -1.2224252019488570E-02   1.2031504681487046E-02
BC_COffDi74            1.5973247531017476E+00  -4.3098109773196204E-02   8.0738724284627021E-03
BC_COffDi75            6.6174607098971694E-01   4.3037745749007705E-02   7.6020948785903162E-03
BC_COffDi76            2.7957072803262655E+00  -4.3441630095393308E-05   1.6410290474562839E-01
BC_COffDi77            2.8243424140730631E+00   3.5222226364606452E-02   9.8647272174402830E-03
BC_COffDi78            1.0688291031913666E+00  -2.8468261890288878E-03   1.2349153181153131E-02
BC_COffDi79            4.8391894486386416E-01  -6.7208079480871638E-04   2.5519586687626727E-02
BC_COffDi80            2.4767746072154058E+00   5.4370894000910089E-04   1.5897008931165785E-01
BC_COffDi81            1.3195216591798846E+00  -1.9078650046788371E-02   1.3825958829385854E-02
BC_COffDi82            7.5032935960154545E-01   4.1335756759760395E-02   8.3631054283795810E-03
BC_COffDi83            2.2979772270699286E+00   1.5967839944376332E-03   9.3011065538264170E-03
BC_COffDi84            2.7963697745441292E+00   1.0249831992641199E-03   1.6807255598202211E-01
BC_COffDi85            4.9479960464343142E-01  -5.9656376336548633E-02   7.0204486073401308E-03
BC_COffDi86            2.7965219128091197E+00   5.5664234291546662E-02   1.9760762890445607E-02
BC_COffDi87            2.8110436785426867E+00   1.1581433021764304E-02   2.8405755425450124E-02
BC_COffDi88            1.8721522164349425E+00   6.3844981811662970E-04   4.1491718269492231E-02
BC_COffDi89            5.9423530736923853E+00   7.9042278256276604E-04   9.7948082645746337E-02
BC_COffDi90            8.4333345502375057E-01   7.0443114723857413E-04   8.7756079944376092E-02
BC_COffDi91            1.1980538406299903E+00   1.4935093046194307E-03   7.9780561082626211E-02
BC_COffDi92            2.5968944854044564E+00   1.8134092978428693E-03   1.4356119255482352E-01
BC_COffDi93            2.3477724015196921E+00  -4.9470443838587055E-03   3.8519881951140075E-02
BC_COffDi94            4.5178020617891196E-01  -1.8283841327671297E-03   8.1338142178014078E-02
BC_COffDi95            6.4990078760145542E-01  -2.2362804612247847E-03   3.1955338518532037E-02
BC_COffDi96            2.0923966731014514E+00   1.8526831031139500E-03   4.5133085452645894E-01
BC_COffDi97            2.3353380617101718E+00   1.1301407222746901E-04   2.4597613728798988E+00
  BD_beta01           -8.8275409305634434E-01   2.5880108513789048E-02   6.8401647913372858E-03
  BD_beta02           -1.2963244095099399E-01   3.1973685332504125E-03   5.3139782524416930E-03
  BD_beta03            8.2679803753174386E-01   3.1591048679755443E-02   5.1212144859031092E-03
  BD_beta04            2.0543054100156999E-01   3.8111788116590183E-02   7.5224313731649551E-03
  BD_beta05            1.1423124409823497E+00   1.5197251621673335E-02   1.1712608877074692E-02
  BD_beta06           -1.9809919392412585E+00   8.4118941606247683E-03   2.4724729457599959E-02
  BD_beta07            7.5537843097989266E-01  -2.7882186408090728E-02   3.7556977251127122E-03
  BD_beta08            4.9486174868823479E-01   1.4653367170330639E-01   4.2235595032386625E-03
  BD_beta09            9.5518710258267869E-01   9.2219765899950498E-02   5.1718979903855860E-03
  BD_beta10           -7.9023542248875667E-01   9.8496706702568878E-03   1.8149398828941066E-02
  BD_beta11           -7.8426893322074004E-02  -3.2139468162752642E-02   8.4229162012255717E-03
  BD_beta12            2.9183217644228671E-01   7.8572811901449990E-02   9.2832725399269126E-03
  BD_beta13           -2.0597715461668296E+00   2.7071372186204101E-03   3.6510167475932095E-02
  BD_beta14           -9.8111659196200285E-01   9.2052134845850338E-03   5.6976205557510123E-02
  BD_beta15           -1.0277666927890594E+00  -1.7940375633779888E-02   9.3016682493016582E-03
  BD_beta16           -6.7900544069797703E-02  -2.4362930058770837E-02   6.7343344614278567E-03
  BD_beta17            5.8442783701554124E-01   6.2680546686479932E-02   7.7267196214024225E-03
  BD_beta18            6.8391635280646745E-01  -9.2487452468579048E-03   8.9073663281809441E-03
  BD_beta19           -1.0451941151271487E+00  -2.9733408155945803E-03   5.8939595440356519E-02
  BD_beta20           -2.0786771537909980E+00  -3.5063271250361265E-03   2.1423457004888211E-01
  BD_beta21           -9.1005243106884903E-01   1.6509395321202866E-02   1.1538526055135690E-02
  BD_beta22            1.1914629313588319E+00   5.5301904493258433E-02   6.0393115919844418E-03
  BD_beta23            2.3329939010369391E-01  -7.5753032204189360E-03   1.4257815779130016E-02
  BD_beta24            9.4352798676336436E-01   5.7155843952702304E-02   9.1157217247883511E-03
  BD_beta25           -1.6660042114025864E+00  -8.6506241655474422E-02   2.6290506976883388E-02
  BD_beta26           -1.1424297421119742E+00   5.3547806746116614E-04   4.4828954454389676E-02
  BD_beta27           -9.2957398757096701E-02   6.2590615588983588E-03   7.2661256098418836E-02
 BD_CDiag01           -3.0542492835331259E-01  -1.1339761216685804E-01   1.9654967472120199E-03
 BD_CDiag02            9.1973479871337271E-01   1.1495070682584763E+00   2.1054563500842362E-03
 BD_CDiag03            1.1665964881318477E-01   1.8806473825031738E-02   2.6913943806308651E-03
 BD_CDiag04            9.9999999999999967E-01  -2.3053556651552781E-01   3.3369247490072870E-03
 BD_CDiag05            2.5778292086965315E-01  -1.0241441227771519E-01   3.1407610310479010E-03
 BD_CDiag06            7.2559962465042760E-01   1.5721950595553102E-02   1.0110781405473175E-02
 BD_CDiag07            2.3945714589235251E-01  -2.0905818591945483E-01   1.9232484238086906E-03
 BD_CDiag08            3.5399056048274491E-01  -2.1921239475761192E-01   3.2629270042965472E-03
 BD_CDiag09            2.0492224427984717E-02   1.3412374162575718E+00   2.5642119566355961E-03
 BD_CDiag10            4.9286688311240701E-01   4.8921120881226458E-02   1.0399328416298410E-02
 BD_CDiag11            4.7113116835324498E-01  -6.1529098427978872E-02   5.1971672324633645E-03
