           Var. Name                       x0                        x                 Gradient
         BC_beta(96)       0.125908063002D+01       0.125896326248D+01      -0.224426540370D-02
         BC_beta(97)       0.396841812564D+01       0.396836236984D+01       0.258675085751D-03
         BC_beta(98)       0.100600473796D+01       0.100575222710D+01       0.204514647573D-02
        BD_CDiag(01)      -0.470154497800D+00      -0.468918121035D+00       0.241745416007D-01
        BD_CDiag(02)       0.398834589891D+00       0.399476699734D+00       0.498942152161D-01
        BD_CDiag(03)       0.614982753646D-01       0.584248043548D-01       0.877667790655D-01
        BD_CDiag(04)       0.140618592179D+00       0.130509836542D+00      -0.777761782733D-01
        BD_CDiag(05)       0.206489782404D+00       0.206887485623D+00       0.123653266609D-01
        BD_CDiag(06)       0.834549818850D+00       0.834384498883D+00       0.336328759070D-01
        BD_CDiag(07)       0.117370531050D+00       0.122793994917D+00       0.457784334740D+02
        BD_CDiag(08)       0.331154062716D+00       0.326928049088D+00       0.253931294331D+00
        BD_CDiag(09)       0.196823100096D+00       0.190064376803D+00      -0.101855461478D+01
        BD_CDiag(10)       0.869291290939D+00       0.863178990831D+00      -0.236479670225D-04
        BD_CDiag(11)       0.884004905690D+00       0.877545534730D+00      -0.806166314462D+01
        BD_CDiag(12)       0.694943980906D+00       0.688665773866D+00       0.692184688951D-01
        BD_CDiag(13)       0.174634133892D+00       0.175142180497D+00      -0.232893615621D-01
        BD_CDiag(14)       0.993968385959D+00       0.993027073830D+00      -0.110117268912D-01
        BD_CDiag(15)       0.474863242614D-01       0.479228057177D-01       0.497680112125D-01
        BD_CDiag(16)       0.529278747135D-01       0.589121809068D-01       0.447358168360D-02
        BD_CDiag(17)       0.113781540302D+00       0.114112844317D+00       0.276752757334D-01
        BD_CDiag(18)       0.214865139367D+00       0.215117726095D+00       0.744979980873D-01
        BD_CDiag(19)       0.998647273802D+00       0.998430417407D+00      -0.933730742207D-02
        BD_CDiag(20)       0.998409757780D+00       0.998158502477D+00       0.593253524698D-02
        BD_CDiag(21)       0.845664013371D+00       0.845112628780D+00       0.164870380332D+00
        BD_CDiag(22)       0.164389329504D+00       0.169344444195D+00       0.299768418079D+00
        BD_CDiag(23)       0.893480691295D+00       0.893631780091D+00       0.913040491832D-02
        BD_CDiag(24)       0.881794720690D+00       0.881865546195D+00      -0.698117584618D+01
        BD_CDiag(25)       0.703479454778D+00       0.703562710491D+00      -0.152528288810D-01
        BD_CDiag(26)       0.523263503783D+00       0.523471478124D+00      -0.435075076557D-02
        BD_CDiag(27)       0.261982800509D+00       0.262350520083D+00       0.487758635592D-02
     BD_COffDiag(01)       0.245307028653D+01       0.245299271442D+01       0.551976835067D-02
     BD_COffDiag(02)       0.596381737267D+00       0.597887246264D+00       0.354785115771D-01
     BD_COffDiag(03)       0.282140402075D+01       0.282043870387D+01       0.241829879917D-01
     BD_COffDiag(04)       0.177637309806D+01       0.177626833091D+01       0.470674602474D-02
     BD_COffDiag(05)       0.108060895532D+01       0.108049960470D+01      -0.340863778831D-01
     BD_COffDiag(06)       0.268818756410D+01       0.268786031009D+01       0.602559842253D-01
     BD_COffDiag(07)       0.145593825805D+01       0.145483369189D+01      -0.692259299743D-01
     BD_COffDiag(08)       0.191972035887D+01       0.191961332152D+01      -0.318959888713D+00
     BD_COffDiag(09)       0.110005539391D+01       0.109517756519D+01      -0.997352012383D-02
     BD_COffDiag(10)       0.209505737348D+01       0.209501992576D+01       0.165995966943D+02
     BD_COffDiag(11)       0.129825706785D+01       0.129189597430D+01       0.184868348842D-01
     BD_COffDiag(12)       0.277190408891D+01       0.277184271017D+01      -0.100385371856D-01
     BD_COffDiag(13)       0.132727868060D+01       0.132717992546D+01      -0.129232347580D-01
     BD_COffDiag(14)       0.279820308806D+01       0.279813196542D+01       0.339673597621D-03
     BD_COffDiag(15)       0.282599004956D+01       0.282591937759D+01      -0.655374175124D-03
     BD_COffDiag(16)       0.282618540693D+01       0.282610716682D+01       0.421501605412D-02
     BD_COffDiag(17)       0.263173857848D+01       0.263269964429D+01       0.121661528620D-01
     BD_COffDiag(18)       0.282545236984D+01       0.282535827725D+01       0.268534526411D-02
     BD_COffDiag(19)       0.209688539694D+01       0.209679770113D+01      -0.928700066920D-03
     BD_COffDiag(20)       0.155758647785D+01       0.155755186442D+01      -0.732234438938D-01
     BD_COffDiag(21)       0.282581496853D+01       0.282572859062D+01       0.111045442190D-01
     BD_COffDiag(22)       0.137838422545D+01       0.137853167770D+01       0.287054126975D-02
     BD_COffDiag(23)       0.181379581889D+01       0.181429899097D+01       0.182420580089D+02
     BD_COffDiag(24)       0.282649302784D+01       0.282625054068D+01       0.152899083510D-01
     BD_COffDiag(25)       0.239527524963D+01       0.239517708566D+01       0.134645911086D-01
     BD_COffDiag(26)       0.160839339027D+01       0.160828988052D+01      -0.678526316588D-03
        BC_CDiag(01)       0.997391259341D+00       0.996899936801D+00      -0.637146320801D+00
        BC_CDiag(02)       0.810459977445D+00       0.812507892687D+00      -0.217325628369D+00
        BC_CDiag(03)       0.979813112355D+00       0.976056598599D+00      -0.263150754976D+01
        BC_CDiag(04)       0.920323336460D+00       0.914409072645D+00      -0.884010162621D-01
        BC_CDiag(05)       0.447202868126D+00       0.447056093729D+00       0.873055310138D-01
        BC_CDiag(06)       0.987530419456D+00       0.987121341662D+00       0.479632477558D-01
        BC_CDiag(07)       0.942190482326D+00       0.942009808699D+00       0.474044063342D-02
        BC_CDiag(08)       0.519708025804D+00       0.519892885628D+00       0.210867700878D-02
        BC_CDiag(09)       0.998054532270D+00       0.996874030748D+00       0.633096449038D-02
        BC_CDiag(10)       0.910944503655D+00       0.910979854072D+00       0.235218769331D-01
        BC_CDiag(11)       0.997976189647D+00       0.997737038740D+00       0.177623799879D-02
        BC_CDiag(12)       0.512096282971D+00       0.512286956456D+00       0.209374011400D-02
        BC_CDiag(13)       0.998584167341D+00       0.998248671542D+00      -0.503294063303D-01
        BC_CDiag(14)       0.997954532039D+00       0.997692549509D+00       0.140454126557D-01
        BC_CDiag(15)       0.476279286598D+00       0.470395023329D+00      -0.234605542909D+00
        BC_CDiag(16)       0.465759326899D+00       0.466855058397D+00      -0.399608174528D+00
        BC_CDiag(17)       0.391709822681D+00       0.393531747309D+00       0.371777445789D+02
        BC_CDiag(18)       0.540108992545D+00       0.542338731124D+00       0.336578645736D+02
        BC_CDiag(19)       0.573209088464D+00       0.572761378822D+00       0.105538883953D+00
        BC_CDiag(20)       0.997932993459D+00       0.997741240588D+00      -0.730994861548D-01
        BC_CDiag(21)       0.785151294236D+00       0.785270903972D+00       0.537344951484D-02
        BC_CDiag(22)       0.338144635310D+00       0.338322723066D+00      -0.396992758537D+00
        BC_CDiag(23)       0.415723969243D+00       0.418427920513D+00      -0.111837516137D+02
        BC_CDiag(24)       0.234822268979D+00       0.234988700139D+00      -0.124318873697D+00
        BC_CDiag(25)       0.631414149358D+00       0.633522044590D+00      -0.134872861567D-01
        BC_CDiag(26)       0.325298136719D+00       0.324877070064D+00      -0.752935357062D+00
        BC_CDiag(27)       0.997973758763D+00       0.997737867430D+00       0.175024983053D-02
        BC_CDiag(28)       0.996968112225D+00       0.996755465559D+00      -0.355577736120D-02
        BC_CDiag(29)       0.714712894694D+00       0.714710212924D+00       0.139958734287D-01
        BC_CDiag(30)       0.679471901811D+00       0.679447742496D+00       0.460529970982D-01
        BC_CDiag(31)       0.988862052239D+00       0.988742031556D+00      -0.997956071445D+00
        BC_CDiag(32)       0.997988057787D+00       0.997749699809D+00       0.155804210661D-02
        BC_CDiag(33)       0.997984964321D+00       0.997745722802D+00       0.178575982891D-02
        BC_CDiag(34)       0.594915626452D+00       0.594742049411D+00       0.322761204592D+02
        BC_CDiag(35)       0.504959901085D-01       0.510006671392D-01       0.272457644435D-02
        BC_CDiag(36)       0.988467246290D-01       0.989597305392D-01       0.405527594698D-01
        BC_CDiag(37)       0.670619234268D+00       0.670681828200D+00       0.103766070397D-01
        BC_CDiag(38)       0.701671102872D+00       0.701503456332D+00       0.619401836150D-01
        BC_CDiag(39)       0.999995813476D+00       0.998830066572D+00       0.354602688576D-01
        BC_CDiag(40)       0.998098953722D+00       0.997829478702D+00       0.169158670858D-01
        BC_CDiag(41)       0.996875058835D+00       0.996617431880D+00      -0.208031640177D-01
        BC_CDiag(42)       0.698364410042D+00       0.698670074601D+00       0.306631038592D-01
        BC_CDiag(43)       0.997977248147D+00       0.997737446301D+00       0.483955624648D-02
        BC_CDiag(44)       0.997931308222D+00       0.997701588086D+00       0.561149625551D-02
        BC_CDiag(45)       0.998145914212D+00       0.997916109011D+00      -0.831042940783D-02
        BC_CDiag(46)       0.997987541909D+00       0.997738556433D+00      -0.381964925009D-01
        BC_CDiag(47)       0.998315589256D+00       0.998070882072D+00      -0.218231028856D-01
        BC_CDiag(48)       0.995228149010D+00       0.995414802510D+00      -0.997576211251D-01
        BC_CDiag(49)       0.997373806207D+00       0.997152854527D+00      -0.232849423922D-01
        BC_CDiag(50)       0.693482120851D+00       0.693614193849D+00      -0.454283741068D+00
        BC_CDiag(51)       0.901429449830D+00       0.901412051338D+00      -0.916312626757D-02
        BC_CDiag(52)       0.994697667776D+00       0.994304294800D+00       0.217613136291D-01
        BC_CDiag(53)       0.537780593915D+00       0.540411383966D+00       0.153820182538D-01
        BC_CDiag(54)       0.458319455990D+00       0.458622790589D+00      -0.303977584992D+01
        BC_CDiag(55)       0.688933844563D+00       0.688429933138D+00      -0.767643978381D-02
        BC_CDiag(56)       0.726880734954D+00       0.726377743999D+00       0.213556609173D-01
        BC_CDiag(57)       0.597623804425D+00       0.598580033178D+00       0.598442065944D-02
        BC_CDiag(58)       0.534232126939D+00       0.535275719567D+00      -0.941355094147D-02
        BC_CDiag(59)       0.797188758727D+00       0.798160386107D+00       0.218842234139D-01
        BC_CDiag(60)       0.998353500690D+00       0.997966625228D+00       0.158567119782D-01
        BC_CDiag(61)       0.528471251674D+00       0.528570034228D+00       0.311282405663D-01
        BC_CDiag(62)       0.525278151659D+00       0.525571576852D+00       0.100779517881D+01
        BC_CDiag(63)       0.997977962941D+00       0.997739078656D+00       0.158509133496D-02
        BC_CDiag(64)       0.997990970670D+00       0.997745880234D+00       0.541395015741D-02
        BC_CDiag(65)       0.997951971595D+00       0.997724677781D+00       0.110407855390D-02
        BC_CDiag(66)       0.337191103991D-01       0.342310594922D-01       0.308968175757D-02
        BC_CDiag(67)       0.512083617423D+00       0.512274259494D+00       0.210793136886D-02
        BC_CDiag(68)       0.997977997746D+00       0.997739112732D+00       0.158489014792D-02
        BC_CDiag(69)       0.997978027467D+00       0.997739144252D+00       0.158371367302D-02
        BC_CDiag(70)       0.116433382267D+00       0.116897174718D+00       0.283376120325D-02
        BC_CDiag(71)       0.998037654345D+00       0.997810007289D+00      -0.304511208302D-03
        BC_CDiag(72)       0.464058224476D+00       0.464475839078D+00      -0.670481366725D-01
        BC_CDiag(73)       0.606889860476D+00       0.607118571504D+00      -0.124726422686D-02
        BC_CDiag(74)       0.261788015357D+00       0.262054827155D+00       0.303871488526D-01
        BC_CDiag(75)       0.381862210098D+00       0.381999926933D+00      -0.140587511766D-02
        BC_CDiag(76)       0.670725124108D+00       0.670709807270D+00       0.742055523431D+00
        BC_CDiag(77)       0.544146876680D+00       0.543929364937D+00       0.182877069210D+00
        BC_CDiag(78)       0.557175756687D+00       0.560757107789D+00      -0.499811158712D+01
        BC_CDiag(79)       0.641367647180D+00       0.641106233544D+00      -0.600691868217D+00
